Issue Key,Issue summary,Work date,Hours,Username,Period,Account Key,Account Name,Account Lead,Account Category,Account Customer,Activity Name,Component,All Components,Version Name,Issue Type,Issue Status,Project Key,Epic,Epic Link,Work Description,Parent Key,Reporter,External Hours,Billed Hours,Issue Original Estimate,Issue Remaining Estimate,,,
JUSTIT-1899,The Schriftgut properties should always be able to be mutated,2019-11-6,4.25,ignacio,,,,,,,Schriftgut,Schriftgut,Schriftgut,,Improvement,Closed,JUSTIT,,,Work with mirror behaviour from server,,stefan,0,4.25,,0,,,
JUSTIT-1899,The Schriftgut properties should always be able to be mutated,2019-11-5,4.5,ignacio,,,,,,,Schriftgut,Schriftgut,Schriftgut,,Improvement,Closed,JUSTIT,,,Fixing,,stefan,0,4.5,,0,,,
JUSTIT-2008,Transaction (Process ID 118) was deadlocked...,2019-11-6,4,gregorio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,JUSTIT-2008,,stefan,0,4,,0,,,
JUSTIT-2001,"""Aufbewahrungsfrist"" fills wrong ""Datum bis"" (date to)",2019-11-6,7,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Analysis and dev,,neva,0,7,,0,,,
JUSTIT-1974,Schriftgut properties should always be able to be mutated,2019-11-6,1,roberto,,,,,,,module-backoffice,module-backoffice,module-backoffice,,Improvement,Closed,JUSTIT,,,"the nulls values are not ignored in the mapping, even in the isAllowChangesAfterCompletion = true.",,juanb,0,1,,0,,,
JUSTIT-2005,Update SOAP project with 4 types Dossier-typ,2019-11-6,5,jesus,,,,,,,1.0.4.0,,,1.0.4.0,Package,Resolved,JUSTIT,,,,,isabel,0,5,,0,,,
JUSTIT-1880,Loops in state processing,2019-11-6,2.75,emmanuel,,,,,,,1.0.4.0 - Scanclient,,,1.0.4.0 - Scanclient,Bug,Resolved,JUSTIT,,,working on the task... testing.,,robert,0,2.75,0,0,,,
JUSTIT-1988,"Adminclient > Search ""Suche in Search-Logs"" does not run any more",2019-11-6,0.25,emmanuel,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,checking urls.,,stefan,0,0.25,,0,,,
JUSTIT-1988,"Adminclient > Search ""Suche in Search-Logs"" does not run any more",2019-11-5,1,emmanuel,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,working on the task.,,stefan,0,1,,0,,,
JUSTIT-1880,Loops in state processing,2019-11-5,2.25,emmanuel,,,,,,,1.0.4.0 - Scanclient,,,1.0.4.0 - Scanclient,Bug,Resolved,JUSTIT,,,working on the task.,,robert,0,2.25,0,0,,,
JUSTIT-1777,Improve selection in scanningStep,2019-11-5,2,emmanuel,,,,,,,client-scan,client-scan,client-scan,,Improvement,Closed,JUSTIT,,,working on the task.,,emmanuel,0,2,,0,,,
JUSTIT-1901,If a Schritt is read only all the zone 4 elements has to be read only,2019-11-6,1,ramon,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,Test,,stefan,0,1,,0,,,
JUSTIT-1923,View all documents together on a Aufgabe on the Module Home,2019-11-5,2,juanb,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,"Dev, test",,stefan,0,2,,0,,,
JUSTIT-1901,If a Schritt is read only all the zone 4 elements has to be read only,2019-11-5,4.5,ramon,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,Dev,,stefan,0,4.5,,0,,,
JUSTIT-1911,Preview (thumbnail) is not displayed in template selection,2019-11-4,3,sergiol,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,,,stefan,0,3,,4,,,
JUSTIT-2021,Review SEARCH LOG error when inserting explicit value for IDENTITY column,2019-11-4,1,sergiol,,,,,,,1.0.4.0,,,1.0.4.0,Bug,Closed,JUSTIT,,,,,sergiol,0,1,,0,,,
JUSTIT-2005,Update SOAP project with 4 types Dossier-typ,2019-11-5,5,jesus,,,,,,,1.0.4.0,,,1.0.4.0,Package,Resolved,JUSTIT,,,,,isabel,0,5,,0,,,
JUSTIT-2008,Transaction (Process ID 118) was deadlocked...,2019-11-5,8,gregorio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,JUSTIT-2008,,stefan,0,8,,0,,,
JUSTIT-2012,Error message in verification,2019-11-5,1,sebastian,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,impl,,neva,0,1,,0,,,
