ProjectName,SprintProject,TotalHoursProject
JUSTMIKA,1,799.5
JUSTMIKA,2,564.5
JUSTMIKA,3,135.25
JUSTMIKA,4,473.0
JUSTMIKA,5,385.75
JUSTMIKA,6,398.5
JUSTMIKA,7,951.75
JUSTMIKA,8,401.25
JUSTMIKA,9,270.25
JUSTMIKA,10,260.75
JUSTMIKA,11,566.5
JUSTMIKA,12,716.1666666666666
JUSTMIKA,13,1126.75
JUSTMIKA,14,259.75
JUSTMIKA,15,165.75
JUSTMIKA,16,399.66666666666663
JUSTMIKA,17,264.25
JUSTMIKA,18,150.0
JUSTMIKA,19,25.25
JUSTMIKA,20,72.5
JUSTMIKA,21,570.0
JUSTMIKA,22,656.5
JUSTMIKA,23,246.75
JUSTMIKA,24,439.33333333333337
JUSTMIKA,25,454.58333333333337
JUSTMIKA,26,407.75
JUSTMIKA,27,256.5
JUSTMIKA,28,317.75
JUSTVDB,1,283.1666666666667
JUSTVDB,2,253.75
JUSTVDB,3,193.25
JUSTVDB,4,884.75
JUSTVDB,5,810.4
JUSTVDB,6,1352.9166666666667
JUSTVDB,7,396.65
JUSTVDB,8,1187.2166666666667
JUSTVDB,9,223.33333333333334
JUSTVDB,10,359.58333333333337
JUSTVDB,11,535.2433333333333
JUSTVDB,12,268.75
JUSTVDB,13,528.25
JUSTVDB,14,995.25
JUSTVDB,15,727.7533333333333
JUSTVDB,16,567.0833333333333
JUSTVDB,17,407.75
JUSTVDB,18,660.75
JUSTVDB,19,1206.25
JUSTVDB,20,314.3666666666667
JUSTVDB,21,294.5
JUSTVDB,22,294.5
JUSTVDB,23,414.25
JUSTVDB,24,169.5
JUSTVDB,25,158.0
JUSTVDB,26,531.25
JUSTVDB,27,817.25
JUSTVDB,28,556.0
MMO,1,573.5
MMO,2,320.5
MMO,3,98.0
MMO,4,353.0
MMO,5,314.0
MMO,6,142.75
MMO,7,189.25
MMO,8,266.25
MMO,9,149.5
MMO,10,100.0
MMO,11,150.5
MMO,12,226.25
MMO,13,177.25
MMO,14,183.25
MMO,15,126.5
MMO,16,445.25
MMO,17,347.75
MMO,18,144.25
MMO,19,188.0
MMO,20,130.0
MMO,21,81.0
MMO,22,80.0
MMO,23,100.0
MMO,24,156.25
MMO,25,190.66666666666666
MMO,26,70.25
MMO,27,33.25
MMO,28,259.25
VATRO,1,47.5
VATRO,2,406.5
VATRO,3,675.5
VATRO,4,242.5
VATRO,5,210.0
VATRO,6,213.0
VATRO,7,143.0
VATRO,8,41.5
VATRO,9,34.25
VATRO,10,21.5
VATRO,11,25.0
VATRO,12,146.5
VATRO,13,46.0
VATRO,14,184.0
VATRO,15,19.0
VATRO,16,72.75
VATRO,17,292.25
VATRO,18,284.0
VATRO,19,217.75
VATRO,20,76.0
VATRO,21,103.0
VATRO,22,33.75
VATRO,23,89.91666666666666
VATRO,24,32.75
VATRO,25,33.25
VATRO,26,58.0
VATRO,27,90.5
VATRO,28,429.75
