Username,SprintUser,TotalHoursUser
roberto,1,171.5
roberto,2,177.0
roberto,3,102.0
roberto,4,187.5
roberto,5,167.0
roberto,6,181.25
roberto,7,172.5
roberto,8,179.0
roberto,9,184.0
roberto,10,136.0
roberto,11,109.0
roberto,12,159.0
roberto,13,173.75
roberto,14,153.5
roberto,15,91.0
roberto,16,149.25
roberto,17,177.0
roberto,18,154.0
roberto,19,156.0
roberto,20,185.0
roberto,21,143.0
roberto,22,106.0
roberto,23,162.0
roberto,24,191.0
roberto,25,167.0
roberto,26,144.0
roberto,27,121.0
roberto,28,160.0
nacho,1,89.25
nacho,2,86.0
nacho,3,89.5
nacho,4,168.0
nacho,5,147.25
nacho,6,160.5
nacho,7,161.5
nacho,8,158.25
nacho,9,165.75
nacho,10,167.25
nacho,11,61.25
nacho,12,152.5
nacho,13,144.0
nacho,14,130.25
nacho,15,113.25
nacho,16,170.0
nacho,17,168.25
nacho,18,165.25
nacho,19,151.5
nacho,20,183.5
nacho,21,142.0
nacho,22,160.0
nacho,23,120.0
nacho,24,159.25
nacho,25,132.75
nacho,26,149.0
nacho,27,131.5
nacho,28,163.25
raul,1,140.5
raul,2,161.5
raul,3,68.5
raul,4,184.0
raul,5,158.5
raul,6,188.5
raul,7,162.25
raul,8,173.25
raul,9,185.5
raul,10,142.5
raul,11,112.5
raul,12,122.25
raul,13,65.75
raul,14,118.5
raul,15,120.0
raul,16,181.75
raul,17,75.5
raul,18,0.0
raul,19,0.0
raul,20,24.0
raul,21,170.0
raul,22,144.5
raul,23,148.75
raul,24,176.0
raul,25,160.25
raul,26,120.25
raul,27,130.0
raul,28,171.75
gregorio,1,175.5
gregorio,2,170.5
gregorio,3,96.0
gregorio,4,160.0
gregorio,5,170.5
gregorio,6,179.0
gregorio,7,153.0
gregorio,8,183.0
gregorio,9,179.5
gregorio,10,122.5
gregorio,11,150.5
gregorio,12,166.0
gregorio,13,173.5
gregorio,14,154.0
gregorio,15,93.75
gregorio,16,162.0
gregorio,17,155.75
gregorio,18,145.0
gregorio,19,167.0
gregorio,20,186.0
gregorio,21,130.25
gregorio,22,81.5
gregorio,23,163.5
gregorio,24,186.0
gregorio,25,171.0
gregorio,26,152.5
gregorio,27,145.0
gregorio,28,170.0
josem,1,152.0
josem,2,16.0
josem,3,91.0
josem,4,168.0
josem,5,168.0
josem,6,168.0
josem,7,140.0
josem,8,176.0
josem,9,168.0
josem,10,136.0
josem,11,160.0
josem,12,160.0
josem,13,104.0
josem,14,164.0
josem,15,92.0
josem,16,158.5
josem,17,176.0
josem,18,168.0
josem,19,168.0
josem,20,140.5
josem,21,88.0
josem,22,176.0
josem,23,172.5
josem,24,139.0
josem,25,128.0
josem,26,144.0
josem,27,136.0
josem,28,164.0
